Standortname;PLZ;Standplatz-Bezeichnung_Internet;Latitude;Longitude;Title
Radeberg;1454;Hausbahnsteig;52,3614714;13,1900245;Hausbahnsteig - Radeberg - 1454
Hermsdorf (b Dresden);1458;Bahnsteig;52,3236954;13,1410804;Bahnsteig - Hermsdorf (b Dresden) - 1458
Ottendorf-Okrilla Süd;1458;Bahnsteig Richtung Dresden;52,3236954;13,1410804;Bahnsteig Richtung Dresden - Ottendorf-Okrilla Süd - 1458
Ottendorf-Okrilla Hp;1458;Hausbahnsteig;52,3236954;13,1410804;Hausbahnsteig - Ottendorf-Okrilla Hp - 1458
Langebrück (Sachs);1465;Zugang Bahnsteig Richtung Radeberg;52,631423;12,8120194;Zugang Bahnsteig Richtung Radeberg - Langebrück (Sachs) - 1465
Langebrück (Sachs);1465;Bahnsteig Richtung Dresden;52,631423;12,8120194;Bahnsteig Richtung Dresden - Langebrück (Sachs) - 1465
Arnsdorf (b Dresden);1477;Bahnsteig Richtung Dresden;52,7288876;12,4121255;Bahnsteig Richtung Dresden - Arnsdorf (b Dresden) - 1477
Großenhain Cottb Bf;1558;Hausbahnsteig;52,4574139;13,7510028;Hausbahnsteig - Großenhain Cottb Bf - 1558
Priestewitz;1561;Zugang Bahnsteig Richtung Leipzig;52,4574139;13,7510028;Zugang Bahnsteig Richtung Leipzig - Priestewitz - 1561
Riesa;1587;Hausbahnsteig;51,9833876;14,2995524;Hausbahnsteig - Riesa - 1587
Riesa;1587;Zugang Bahnsteig;51,9833876;14,2995524;Zugang Bahnsteig - Riesa - 1587
Nünchritz;1612;Zugang Bahnsteig;51,9748677;13,5997631;Zugang Bahnsteig - Nünchritz - 1612
Glaubitz (b Riesa);1612;Zugang Bahnsteig Richtung Dresden;51,9748677;13,5997631;Zugang Bahnsteig Richtung Dresden - Glaubitz (b Riesa) - 1612
Coswig(Dresden);1640;Zugang Fußgängertunnel;52,7652459;13,6449564;Zugang Fußgängertunnel - Coswig(Dresden) - 1640
Neusörnewitz;1640;Zugang Hausbahnsteig 1;52,7652459;13,6449564;Zugang Hausbahnsteig 1 - Neusörnewitz - 1640
Coswig(Dresden);1640;Bahnsteig 1/2;52,7652459;13,6449564;Bahnsteig 1/2 - Coswig(Dresden) - 1640
Meißen Altstadt;1662;Mittelbahnsteig;52,6623886;13,3602062;Mittelbahnsteig - Meißen Altstadt - 1662
Meißen;1662;Bahnhofshalle;52,6623886;13,3602062;Bahnhofshalle - Meißen - 1662
Meißen Triebischtal;1662;Hausbahnsteig;52,6623886;13,3602062;Hausbahnsteig - Meißen Triebischtal - 1662
Meißen;1662;Bahnhofshalle;52,6623886;13,3602062;Bahnhofshalle - Meißen - 1662
Niederau;1689;Mittelbahnsteig;52,9039874;12,4538844;Mittelbahnsteig - Niederau - 1689
Weinböhla;1689;Bahnsteig Richtung Leipzig;52,9039874;12,4538844;Bahnsteig Richtung Leipzig - Weinböhla - 1689
Weinböhla;1689;Bahnsteig Richtung Dresden;52,9039874;12,4538844;Bahnsteig Richtung Dresden - Weinböhla - 1689
