Standortname;PLZ;Standplatz-Bezeichnung_Internet;Latitude;Longitude;Title
Hamburg-Stellingen;22525;Zugang zum Bahnsteig;53,581417;9,9130649;Zugang zum Bahnsteig - Hamburg-Stellingen - 22525
Hamburg-Stellingen;22525;Zugang zum Bahnsteig;53,581417;9,9130649;Zugang zum Bahnsteig - Hamburg-Stellingen - 22525
Hamburg-Langenfelde;22525;Zugang zum Bahnsteig;53,581417;9,9130649;Zugang zum Bahnsteig - Hamburg-Langenfelde - 22525
Rissen;22559;Zugang Schöns Park;53,5830905;9,7537598;Zugang Schöns Park - Rissen - 22559
Rissen;22559;Zugang Gudrunstraße;53,5830905;9,7537598;Zugang Gudrunstraße - Rissen - 22559
Rissen;22559;Zugang Gudrunstraße;53,5830905;9,7537598;Zugang Gudrunstraße - Rissen - 22559
Rissen;22559;Zugang Schöns Park;53,5830905;9,7537598;Zugang Schöns Park - Rissen - 22559
Blankenese;22587;Eingang Empfangsgebäude;53,5610383;9,7964715;Eingang Empfangsgebäude - Blankenese - 22587
Blankenese;22587;Auf der Fußgängerbrücke;53,5610383;9,7964715;Auf der Fußgängerbrücke - Blankenese - 22587
Blankenese;22587;Eingang Empfangsgebäude;53,5610383;9,7964715;Eingang Empfangsgebäude - Blankenese - 22587
Blankenese;22587;Eingang Empfangsgebäude;53,5610383;9,7964715;Eingang Empfangsgebäude - Blankenese - 22587
Hamburg-Iserbrook;22589;Zugang Sülldorfer Landstraße;53,5764593;9,8230107;Zugang Sülldorfer Landstraße - Hamburg-Iserbrook - 22589
Sülldorf;22589;Zugang zum Bahnsteig;53,5764593;9,8230107;Zugang zum Bahnsteig - Sülldorf - 22589
Sülldorf;22589;Zugang zum Bahnsteig;53,5764593;9,8230107;Zugang zum Bahnsteig - Sülldorf - 22589
Hamburg-Iserbrook;22589;Zugang Hasenhöhe;53,5764593;9,8230107;Zugang Hasenhöhe - Hamburg-Iserbrook - 22589
Hamburg-Iserbrook;22589;Zugang Sülldorfer Landstraße;53,5764593;9,8230107;Zugang Sülldorfer Landstraße - Hamburg-Iserbrook - 22589
Hamburg-Iserbrook;22589;Zugang Hasenhöhe;53,5764593;9,8230107;Zugang Hasenhöhe - Hamburg-Iserbrook - 22589
Hamburg-Othmarschen;22605;Am Aufzug;53,5508168;9,8868189;Am Aufzug - Hamburg-Othmarschen - 22605
Hamburg-Othmarschen;22605;Zugang Waitzstraße;53,5508168;9,8868189;Zugang Waitzstraße - Hamburg-Othmarschen - 22605
Hamburg-Othmarschen;22605;Zugang Reventlowstraße;53,5508168;9,8868189;Zugang Reventlowstraße - Hamburg-Othmarschen - 22605
Hamburg-Othmarschen;22605;Zugang Reventlowstraße;53,5508168;9,8868189;Zugang Reventlowstraße - Hamburg-Othmarschen - 22605
Hamburg-Othmarschen;22605;Zugang Reventlowstraße;53,5508168;9,8868189;Zugang Reventlowstraße - Hamburg-Othmarschen - 22605
Hamburg-Othmarschen;22605;Zugang Waitzstraße;53,5508168;9,8868189;Zugang Waitzstraße - Hamburg-Othmarschen - 22605
Klein Flottbek;22609;Zugang zum Bahnsteig;53,5544596;9,8429836;Zugang zum Bahnsteig - Klein Flottbek - 22609
Hamburg Hochkamp;22609;Zugang zum Bahnsteig;53,5544596;9,8429836;Zugang zum Bahnsteig - Hamburg Hochkamp - 22609
Hamburg Hochkamp;22609;Zugang zum Bahnsteig;53,5544596;9,8429836;Zugang zum Bahnsteig - Hamburg Hochkamp - 22609
Klein Flottbek;22609;Zugang zum Bahnsteig;53,5544596;9,8429836;Zugang zum Bahnsteig - Klein Flottbek - 22609
Hamburg-Bahrenfeld;22761;Zugang Friedensallee;53,5678526;9,9118726;Zugang Friedensallee - Hamburg-Bahrenfeld - 22761
Hamburg-Bahrenfeld;22761;Zugang Friedensallee;53,5678526;9,9118726;Zugang Friedensallee - Hamburg-Bahrenfeld - 22761
Hamburg-Bahrenfeld;22761;Zugang Bahrenfelder Kirchweg;53,5678526;9,9118726;Zugang Bahrenfelder Kirchweg - Hamburg-Bahrenfeld - 22761
Hamburg-Altona;22765;An der DB Information;53,5554142;9,929928;An der DB Information - Hamburg-Altona - 22765
Hamburg-Altona;22765;An der DB Information;53,5554142;9,929928;An der DB Information - Hamburg-Altona - 22765
Hamburg-Altona;22765;Im DB Reisezentrum;53,5554142;9,929928;Im DB Reisezentrum - Hamburg-Altona - 22765
Hamburg Holstenstraße;22765;Zugang zum Bahnsteig;53,5554142;9,929928;Zugang zum Bahnsteig - Hamburg Holstenstraße - 22765
Hamburg-Altona;22765;Im DB Reisezentrum;53,5554142;9,929928;Im DB Reisezentrum - Hamburg-Altona - 22765
Hamburg-Altona;22765;Ebene -1  Max-Brauer-Allee  rechts;53,5554142;9,929928;Ebene -1  Max-Brauer-Allee  rechts - Hamburg-Altona - 22765
Hamburg-Altona;22765;An der DB Information;53,5554142;9,929928;An der DB Information - Hamburg-Altona - 22765
Hamburg-Altona;22765;Ebene -1  Max-Brauer-Allee  links;53,5554142;9,929928;Ebene -1  Max-Brauer-Allee  links - Hamburg-Altona - 22765
Hamburg-Altona;22765;An der DB Information;53,5554142;9,929928;An der DB Information - Hamburg-Altona - 22765
Hamburg Holstenstraße;22765;Zugang zum Bahnsteig;53,5554142;9,929928;Zugang zum Bahnsteig - Hamburg Holstenstraße - 22765
Hamburg-Altona;22765;An der DB Information;53,5554142;9,929928;An der DB Information - Hamburg-Altona - 22765
Hamburg-Altona;22765;Ebene -1  Ausgang Ri. Museumstrasse;53,5554142;9,929928;Ebene -1  Ausgang Ri. Museumstrasse - Hamburg-Altona - 22765
Hamburg-Altona;22765;Ebene -1  Max-Brauer-Allee  rechts;53,5554142;9,929928;Ebene -1  Max-Brauer-Allee  rechts - Hamburg-Altona - 22765
Hamburg Holstenstraße;22765;Zugang zum Bahnsteig;53,5554142;9,929928;Zugang zum Bahnsteig - Hamburg Holstenstraße - 22765
Hamburg-Altona;22765;Ebene -1  Ausgang Ri. Museumstrasse;53,5554142;9,929928;Ebene -1  Ausgang Ri. Museumstrasse - Hamburg-Altona - 22765
Hamburg-Altona;22765;Ebene -1  Max-Brauer-Allee  links;53,5554142;9,929928;Ebene -1  Max-Brauer-Allee  links - Hamburg-Altona - 22765
Hamburg-Altona;22765;Ebene -1  Ottenser Hauptstraße rechts;53,5554142;9,929928;Ebene -1  Ottenser Hauptstraße rechts - Hamburg-Altona - 22765
Hamburg-Altona;22765;Ebene -1  Ottenser Hauptstraße links;53,5554142;9,929928;Ebene -1  Ottenser Hauptstraße links - Hamburg-Altona - 22765
Hamburg Holstenstraße;22765;Zugang zum Bahnsteig;53,5554142;9,929928;Zugang zum Bahnsteig - Hamburg Holstenstraße - 22765
Hamburg Königstraße;22767;Zugang Behnstraße;53,5488885;9,9426073;Zugang Behnstraße - Hamburg Königstraße - 22767
Hamburg Königstraße;22767;Zugang Behnstraße;53,5488885;9,9426073;Zugang Behnstraße - Hamburg Königstraße - 22767
Hamburg Königstraße;22767;Zugang Mörkenstraße;53,5488885;9,9426073;Zugang Mörkenstraße - Hamburg Königstraße - 22767
Hamburg Diebsteich;22769;Zugang zum Bahnsteig;53,5662722;9,9471013;Zugang zum Bahnsteig - Hamburg Diebsteich - 22769
Hamburg Diebsteich;22769;Zugang zum Bahnsteig;53,5662722;9,9471013;Zugang zum Bahnsteig - Hamburg Diebsteich - 22769
Wedel ( Holst );22880;Zugang zum Bahnsteig;53,5936117;9,6991755;Zugang zum Bahnsteig - Wedel ( Holst ) - 22880
Wedel ( Holst );22880;Zugang zum Bahnsteig;53,5936117;9,6991755;Zugang zum Bahnsteig - Wedel ( Holst ) - 22880
Ahrensburg-Gartenholz;22926;Auf dem Bahnsteig;53,6744402;10,2353838;Auf dem Bahnsteig - Ahrensburg-Gartenholz - 22926
Ahrensburg-Gartenholz;22926;Auf dem Bahnsteig;53,6744402;10,2353838;Auf dem Bahnsteig - Ahrensburg-Gartenholz - 22926
Ahrensburg;22926;Zugang zum Bahnsteig;53,6744402;10,2353838;Zugang zum Bahnsteig - Ahrensburg - 22926
Ahrensburg;22926;In der Bahnhofshalle;53,6744402;10,2353838;In der Bahnhofshalle - Ahrensburg - 22926
Ahrensburg;22926;In der Bahnhofshalle;53,6744402;10,2353838;In der Bahnhofshalle - Ahrensburg - 22926
Ahrensburg;22926;Auf dem Bahnsteig Gleis 4 ;53,6744402;10,2353838;Auf dem Bahnsteig Gleis 4  - Ahrensburg - 22926
Ahrensburg;22926;Auf dem Bahnsteig Gleis 2;53,6744402;10,2353838;Auf dem Bahnsteig Gleis 2 - Ahrensburg - 22926
Ahrensburg;22926;Zugang vom Parkhaus;53,6744402;10,2353838;Zugang vom Parkhaus - Ahrensburg - 22926
Bargteheide;22941;Auf dem Bahnsteig;53,7215478;10,260844;Auf dem Bahnsteig - Bargteheide - 22941
Bargteheide;22941;Auf dem Bahnsteig;53,7215478;10,260844;Auf dem Bahnsteig - Bargteheide - 22941
Kupfermühle;22967;Zugang zum Bahnsteig;53,7427879;10,3086342;Zugang zum Bahnsteig - Kupfermühle - 22967
Lübeck;23558;In der Bahnhofshalle, Zugang Gleis 7/8;53,8567174;10,657845;In der Bahnhofshalle, Zugang Gleis 7/8 - Lübeck - 23558
Lübeck;23558;Im DB Reisezentrum;53,8567174;10,657845;Im DB Reisezentrum - Lübeck - 23558
Lübeck;23558;In der Bahnhofshalle am Reisezentrum;53,8567174;10,657845;In der Bahnhofshalle am Reisezentrum - Lübeck - 23558
Lübeck;23558;In der Bahnhofshalle, Zugang Gleis 7/8;53,8567174;10,657845;In der Bahnhofshalle, Zugang Gleis 7/8 - Lübeck - 23558
Lübeck;23558;In der Bahnhofshalle, Zugang Gleis 4;53,8567174;10,657845;In der Bahnhofshalle, Zugang Gleis 4 - Lübeck - 23558
Lübeck;23558;Im DB Reisezentrum;53,8567174;10,657845;Im DB Reisezentrum - Lübeck - 23558
Lübeck;23558;In der Bahnhofshalle, Zugang Gleis 1/2;53,8567174;10,657845;In der Bahnhofshalle, Zugang Gleis 1/2 - Lübeck - 23558
Lübeck;23558;In der Bahnhofshalle am Reisezentrum;53,8567174;10,657845;In der Bahnhofshalle am Reisezentrum - Lübeck - 23558
Lübeck;23558;In der Bahnhofshalle, Zugang Gleis 1/2;53,8567174;10,657845;In der Bahnhofshalle, Zugang Gleis 1/2 - Lübeck - 23558
Lübeck;23558;In der Bahnhofshalle, Zugang Gleis 3/4;53,8567174;10,657845;In der Bahnhofshalle, Zugang Gleis 3/4 - Lübeck - 23558
Lübeck Flughafen;23560;Auf dem Bahnsteig;53,8202452;10,6357577;Auf dem Bahnsteig - Lübeck Flughafen - 23560
Lübeck Hochschulstadtteil;23560;Auf dem Bahnsteig;53,8202452;10,6357577;Auf dem Bahnsteig - Lübeck Hochschulstadtteil - 23560
Lübeck-St.Jürgen;23562;Auf dem Bahnsteig;53,8301518;10,7089304;Auf dem Bahnsteig - Lübeck-St.Jürgen - 23562
Lübeck-Dänischburg IKEA;23569;Auf dem Bahnsteig;53,9129131;10,8268839;Auf dem Bahnsteig - Lübeck-Dänischburg IKEA - 23569
Lübeck-Travem.Skan-Kai;23569;Auf dem Bahnsteig;53,9129131;10,8268839;Auf dem Bahnsteig - Lübeck-Travem.Skan-Kai - 23569
Lübeck-Kücknitz (Roter Hahn);23569;Auf dem Bahnsteig;53,9129131;10,8268839;Auf dem Bahnsteig - Lübeck-Kücknitz (Roter Hahn) - 23569
Lübeck-Travemünde-Hafen;23570;Auf dem Bahnsteig;53,9600008;10,8535751;Auf dem Bahnsteig - Lübeck-Travemünde-Hafen - 23570
Lübeck-Travemünde Strand;23570;Auf dem Bahnsteig;53,9600008;10,8535751;Auf dem Bahnsteig - Lübeck-Travemünde Strand - 23570
Bad SchwaAutomatu;23611;In der Bahnhofshalle;53,9310381;10,6872637;In der Bahnhofshalle - Bad SchwaAutomatu - 23611
Timmendorferstrand;23669;In der Bahnhofshalle;53,9774167;10,7830868;In der Bahnhofshalle - Timmendorferstrand - 23669
Pönitz am See;23683;Auf dem Bahnsteig;54,0253354;10,7402474;Auf dem Bahnsteig - Pönitz am See - 23683
Haffkrug;23683;In der Bahnhofshalle;54,0253354;10,7402474;In der Bahnhofshalle - Haffkrug - 23683
Scharbeutz;23683;Bahnsteig Gl. 1 Ri Lübeck;54,0253354;10,7402474;Bahnsteig Gl. 1 Ri Lübeck - Scharbeutz - 23683
Pansdorf;23689;Auf dem Bahnsteig;53,9841621;10,7083579;Auf dem Bahnsteig - Pansdorf - 23689
Eutin;23701;Auf dem Bahnsteig;54,104576;10,655405;Auf dem Bahnsteig - Eutin - 23701
Einfeld;23701;Auf dem Bahnsteig;54,104576;10,655405;Auf dem Bahnsteig - Einfeld - 23701
Eutin;23701;Zugang zum Bahnsteig;54,104576;10,655405;Zugang zum Bahnsteig - Eutin - 23701
Malente-Gremsmühlen;23714;Zugang Bahnsteig;54,1978327;10,5990462;Zugang Bahnsteig - Malente-Gremsmühlen - 23714
Malente-Gremsmühlen;23714;Auf dem Bahnsteig;54,1978327;10,5990462;Auf dem Bahnsteig - Malente-Gremsmühlen - 23714
Sierksdorf;23730;In der Bahnhofshalle;54,133637;10,8225089;In der Bahnhofshalle - Sierksdorf - 23730
Neustadt;23730;Auf dem Bahnsteig;54,133637;10,8225089;Auf dem Bahnsteig - Neustadt - 23730
Lensahn;23738;Auf dem Bahnsteig;54,2196332;10,8833244;Auf dem Bahnsteig - Lensahn - 23738
Oldenburg/Holst;23758;Am Bahnhofsgebäude;54,3161225;10,8806314;Am Bahnhofsgebäude - Oldenburg/Holst - 23758
Puttgarden;23769;In der Bahnhofshalle;54,4700537;11,132927;In der Bahnhofshalle - Puttgarden - 23769
Fehmarn-Burg;23769;Auf dem Bahnsteig;54,4700537;11,132927;Auf dem Bahnsteig - Fehmarn-Burg - 23769
Großenbrode;23775;Zugang zum Bahnsteig;54,3651781;11,0875131;Zugang zum Bahnsteig - Großenbrode - 23775
Bad Oldesloe;23843;In der Bahnhofshalle;53,8013492;10,3523426;In der Bahnhofshalle - Bad Oldesloe - 23843
Bad Oldesloe;23843;In der Bahnhofshalle;53,8013492;10,3523426;In der Bahnhofshalle - Bad Oldesloe - 23843
Bad Oldesloe;23843;In der Bahnhofshalle;53,8013492;10,3523426;In der Bahnhofshalle - Bad Oldesloe - 23843
Reinfeld;23858;Auf dem Bahnsteig;53,8334337;10,4872959;Auf dem Bahnsteig - Reinfeld - 23858
Reinfeld;23858;Auf dem Bahnsteig;53,8334337;10,4872959;Auf dem Bahnsteig - Reinfeld - 23858
Mölln;23879;Auf dem Bahnsteig;53,6116343;10,6990778;Auf dem Bahnsteig - Mölln - 23879
Ratzeburg;23909;Zugang zum Bahnsteig;53,6982277;10,7717809;Zugang zum Bahnsteig - Ratzeburg - 23909
Ratzeburg;23909;Auf dem Bahnsteig;53,6982277;10,7717809;Auf dem Bahnsteig - Ratzeburg - 23909
Grevesmühlen;23936;Bahnsteig 1 Zugang Tunnel;53,8465278;11,1873241;Bahnsteig 1 Zugang Tunnel - Grevesmühlen - 23936
Wismar;23966;Empfangsgebäude;53,8231915;11,3174732;Empfangsgebäude - Wismar - 23966
Wismar;23966;Bahnsteig 1/2;53,8231915;11,3174732;Bahnsteig 1/2 - Wismar - 23966
Wismar;23966;Bahnsteig 1/2;53,8231915;11,3174732;Bahnsteig 1/2 - Wismar - 23966
Dorf Mecklenburg;23972;am Empfangsgebäude;53,8419403;11,4594213;am Empfangsgebäude - Dorf Mecklenburg - 23972
Bad Kleinen;23996;Bahnsteig 1/2;53,7905794;11,4282001;Bahnsteig 1/2 - Bad Kleinen - 23996
Bad Kleinen;23996;Bahnsteig 3-4;53,7905794;11,4282001;Bahnsteig 3-4 - Bad Kleinen - 23996
Kiel;24103;In der Bahnhofshalle;54,323924;10,1315442;In der Bahnhofshalle - Kiel - 24103
Kiel;24103;In der Bahnhofshalle;54,323924;10,1315442;In der Bahnhofshalle - Kiel - 24103
Kiel;24103;Zugang zum Bahnsteig Gleis 4/5;54,323924;10,1315442;Zugang zum Bahnsteig Gleis 4/5 - Kiel - 24103
Kiel;24103;In der Bahnhofshalle;54,323924;10,1315442;In der Bahnhofshalle - Kiel - 24103
Kiel;24103;Im DB Reisezentrum;54,323924;10,1315442;Im DB Reisezentrum - Kiel - 24103
Kiel;24103;Im DB Reisezentrum;54,323924;10,1315442;Im DB Reisezentrum - Kiel - 24103
Kiel;24103;In der Bahnhofshalle;54,323924;10,1315442;In der Bahnhofshalle - Kiel - 24103
Kiel;24103;Im DB Reisezentrum;54,323924;10,1315442;Im DB Reisezentrum - Kiel - 24103
Kiel;24103;Zugang zum Bahnsteig, Gleis 2/3;54,323924;10,1315442;Zugang zum Bahnsteig, Gleis 2/3 - Kiel - 24103
Kiel;24103;In der Bahnhofshalle;54,323924;10,1315442;In der Bahnhofshalle - Kiel - 24103
Kiel;24103;Zugang zum Bahnsteig Gleis 4/5;54,323924;10,1315442;Zugang zum Bahnsteig Gleis 4/5 - Kiel - 24103
Kiel;24103;Zugang zum Bahnsteig Gleis 2/3;54,323924;10,1315442;Zugang zum Bahnsteig Gleis 2/3 - Kiel - 24103
Suchsdorf;24107;Auf dem Bahnsteig;54,3402876;10,0500916;Auf dem Bahnsteig - Suchsdorf - 24107
Melsdorf;24109;Auf dem Bahnsteig;54,3171885;10,0477344;Auf dem Bahnsteig - Melsdorf - 24109
Kiel-Russee;24111;Auf dem Bahnsteig;54,3016056;10,0689708;Auf dem Bahnsteig - Kiel-Russee - 24111
Kiel-Hassee CITTI-PARK;24113;Auf dem Bahnsteig;54,2813052;10,08069;Auf dem Bahnsteig - Kiel-Hassee CITTI-PARK - 24113
Kiel-Hassee CITTI-PARK;24113;Auf dem Bahnsteig;54,2813052;10,08069;Auf dem Bahnsteig - Kiel-Hassee CITTI-PARK - 24113
Kronshagen;24119;Auf dem Bahnsteig;54,3328226;10,0857012;Auf dem Bahnsteig - Kronshagen - 24119
Kiel Schulen am Langsee;24145;Auf dem Bahnsteig;54,2850224;10,1501975;Auf dem Bahnsteig - Kiel Schulen am Langsee - 24145
Kiel-Elmschenhagen;24146;Auf dem Bahnsteig;54,2920931;10,1857667;Auf dem Bahnsteig - Kiel-Elmschenhagen - 24146
Kiel-Ellerbek;24148;Auf dem Bahnsteig;54,3177461;10,1718285;Auf dem Bahnsteig - Kiel-Ellerbek - 24148
Kiel-Oppendorf;24149;Auf dem Bahnsteig;54,3355313;10,1907001;Auf dem Bahnsteig - Kiel-Oppendorf - 24149
Preetz;24211;Auf dem Bahnsteig;54,2240948;10,2988521;Auf dem Bahnsteig - Preetz - 24211
Preetz;24211;Auf dem Bahnsteig;54,2240948;10,2988521;Auf dem Bahnsteig - Preetz - 24211
Gettorf;24214;In der Bahnhofshalle;54,4108044;9,978799;In der Bahnhofshalle - Gettorf - 24214
Flintbek;24220;Auf dem Bahnsteig;54,2419813;10,0891154;Auf dem Bahnsteig - Flintbek - 24220
Flintbek;24220;Auf dem Bahnsteig;54,2419813;10,0891154;Auf dem Bahnsteig - Flintbek - 24220
Raisdorf;24223;Zugang zum Bahnsteig;54,2836278;10,2396789;Zugang zum Bahnsteig - Raisdorf - 24223
Achterwehr;24239;Auf dem Bahnsteig;54,3007977;9,9797994;Auf dem Bahnsteig - Achterwehr - 24239
Felde;24242;Auf dem Bahnsteig;54,3057776;9,9198924;Auf dem Bahnsteig - Felde - 24242
Felde;24242;Auf dem Bahnsteig;54,3057776;9,9198924;Auf dem Bahnsteig - Felde - 24242
Plön;24306;Auf dem Bahnsteig;54,1683951;10,4322946;Auf dem Bahnsteig - Plön - 24306
Plön;24306;Auf dem Bahnsteig;54,1683951;10,4322946;Auf dem Bahnsteig - Plön - 24306
Ascheberg (Holst);24326;Auf dem Bahnsteig;54,1508099;10,3411849;Auf dem Bahnsteig - Ascheberg (Holst) - 24326
Eckernförde;24340;Auf dem Bahnsteig;54,4407797;9,8227146;Auf dem Bahnsteig - Eckernförde - 24340
Eckernförde;24340;Auf dem Bahnsteig;54,4407797;9,8227146;Auf dem Bahnsteig - Eckernförde - 24340
Rieseby;24354;Auf dem Bahnsteig;54,5315889;9,7939497;Auf dem Bahnsteig - Rieseby - 24354
Süderbrarup;24392;Auf dem Bahnsteig;54,6415512;9,803084;Auf dem Bahnsteig - Süderbrarup - 24392
Neumünster;24534;Tunnel zum Bahnsteig;54,073968;9,9845763;Tunnel zum Bahnsteig - Neumünster - 24534
Neumünster;24534;Halle Zugang zu den Bahnsteigen;54,073968;9,9845763;Halle Zugang zu den Bahnsteigen - Neumünster - 24534
Neumünster;24534;In der Bahnhofshalle;54,073968;9,9845763;In der Bahnhofshalle - Neumünster - 24534
Neumünster;24534;In der Bahnhofshalle;54,073968;9,9845763;In der Bahnhofshalle - Neumünster - 24534
Bordesholm;24582;Auf dem Bahnsteig;54,1590001;10,0272619;Auf dem Bahnsteig - Bordesholm - 24582
Bordesholm;24582;Auf dem Bahnsteig;54,1590001;10,0272619;Auf dem Bahnsteig - Bordesholm - 24582
Nortorf;24589;Auf dem Bahnsteig;54,1673132;9,8516283;Auf dem Bahnsteig - Nortorf - 24589
Nortorf;24589;Auf dem Bahnsteig;54,1673132;9,8516283;Auf dem Bahnsteig - Nortorf - 24589
Brokstedt;24616;Zugang zum Bahnsteig;53,9980856;9,8453357;Zugang zum Bahnsteig - Brokstedt - 24616
Rendsburg;24768;In der Bahnhofshalle;54,3063359;9,6429685;In der Bahnhofshalle - Rendsburg - 24768
Rendsburg;24768;In der Bahnhofshalle;54,3063359;9,6429685;In der Bahnhofshalle - Rendsburg - 24768
Rendsburg;24768;In der Bahnhofshalle;54,3063359;9,6429685;In der Bahnhofshalle - Rendsburg - 24768
Schülldorf;24790;Auf dem Bahnsteig;54,3141871;9,7227212;Auf dem Bahnsteig - Schülldorf - 24790
Bredenbek;24796;Auf dem Bahnsteig;54,3286401;9,8434496;Auf dem Bahnsteig - Bredenbek - 24796
Owschlag;24811;Zugang zum Bahnsteig;54,3909826;9,6194728;Zugang zum Bahnsteig - Owschlag - 24811
Owschlag;24811;Zugang zum Bahnsteig;54,3909826;9,6194728;Zugang zum Bahnsteig - Owschlag - 24811
Schleswig;24837;Auf dem Bahnsteig;54,5223028;9,5661514;Auf dem Bahnsteig - Schleswig - 24837
Schleswig;24837;In der Bahnhofshalle;54,5223028;9,5661514;In der Bahnhofshalle - Schleswig - 24837
Jübek;24855;Zugang Bahnsteig Gleis 2 Ri. Flensburg;54,5568763;9,3982282;Zugang Bahnsteig Gleis 2 Ri. Flensburg - Jübek - 24855
Flensburg;24937;In der Bahnhofshalle;54,7849139;9,430704;In der Bahnhofshalle - Flensburg - 24937
Flensburg;24937;In der Bahnhofshalle;54,7849139;9,430704;In der Bahnhofshalle - Flensburg - 24937
Flensburg;24937;In der Bahnhofshalle;54,7849139;9,430704;In der Bahnhofshalle - Flensburg - 24937
Flensburg;24937;In der Bahnhofshalle;54,7849139;9,430704;In der Bahnhofshalle - Flensburg - 24937
Tarp;24963;Zugang zum Bahnsteig;54,6584899;9,3824058;Zugang zum Bahnsteig - Tarp - 24963
Sörup/Netz;24966;Zugang Bahnsteig Gleis 1/2;54,7303767;9,6640944;Zugang Bahnsteig Gleis 1/2 - Sörup/Netz - 24966
Husby;24975;Auf dem Bahnsteig;54,7496129;9,5620288;Auf dem Bahnsteig - Husby - 24975
Elmshorn;25335;Bahnsteig Gleis 1 Ri Kiel;53,7543421;9,6058803;Bahnsteig Gleis 1 Ri Kiel - Elmshorn - 25335
Elmshorn;25335;Bahnsteig Gleis 1 Ri Kiel;53,7543421;9,6058803;Bahnsteig Gleis 1 Ri Kiel - Elmshorn - 25335
Elmshorn;25335;Bahnsteig Gleis 2/3 Ri Hamburg;53,7543421;9,6058803;Bahnsteig Gleis 2/3 Ri Hamburg - Elmshorn - 25335
Elmshorn;25335;Bahnsteig Gleis 2/3 Ri Hamburg;53,7543421;9,6058803;Bahnsteig Gleis 2/3 Ri Hamburg - Elmshorn - 25335
Elmshorn;25335;Bahnsteig Gleis 2/3 Ri Hamburg;53,7543421;9,6058803;Bahnsteig Gleis 2/3 Ri Hamburg - Elmshorn - 25335
Elmshorn;25335;Bahnsteig Gleis 2/3 Ri Hamburg;53,7543421;9,6058803;Bahnsteig Gleis 2/3 Ri Hamburg - Elmshorn - 25335
Glückstadt;25348;Bahnsteig Gleis 2 Richtung Hamburg;53,7897112;9,4374704;Bahnsteig Gleis 2 Richtung Hamburg - Glückstadt - 25348
Glückstadt;25348;Auf dem Bahnsteig;53,7897112;9,4374704;Auf dem Bahnsteig - Glückstadt - 25348
Pinneberg;25421;Zugang zum Bahnsteig;53,6466311;9,7859847;Zugang zum Bahnsteig - Pinneberg - 25421
Pinneberg;25421;Zugang Quellental;53,6466311;9,7859847;Zugang Quellental - Pinneberg - 25421
Pinneberg;25421;Zugang zum Bahnsteig;53,6466311;9,7859847;Zugang zum Bahnsteig - Pinneberg - 25421
Thesdorf;25421;Zugang zum Bahnsteig;53,6466311;9,7859847;Zugang zum Bahnsteig - Thesdorf - 25421
Thesdorf;25421;Zugang zum Bahnsteig;53,6466311;9,7859847;Zugang zum Bahnsteig - Thesdorf - 25421
Pinneberg;25421;Zugang Quellental;53,6466311;9,7859847;Zugang Quellental - Pinneberg - 25421
Pinneberg;25421;Zugang zum Bahnsteig;53,6466311;9,7859847;Zugang zum Bahnsteig - Pinneberg - 25421
Halstenbek;25469;Zugang Hauptstraße;53,6217669;9,8222167;Zugang Hauptstraße - Halstenbek - 25469
Halstenbek;25469;Zugang Osteschweg;53,6217669;9,8222167;Zugang Osteschweg - Halstenbek - 25469
Halstenbek;25469;Zugang Hauptstraße;53,6217669;9,8222167;Zugang Hauptstraße - Halstenbek - 25469
Krupunder;25469;Zugang zum Bahnsteig;53,6217669;9,8222167;Zugang zum Bahnsteig - Krupunder - 25469
Krupunder;25469;Zugang zum Bahnsteig;53,6217669;9,8222167;Zugang zum Bahnsteig - Krupunder - 25469
Itzehoe;25524;In der Bahnhofshalle;53,9366967;9,5192039;In der Bahnhofshalle - Itzehoe - 25524
Itzehoe;25524;Vor dem Bahnhofsgebäude;53,9366967;9,5192039;Vor dem Bahnhofsgebäude - Itzehoe - 25524
Wilster;25554;Auf dem Bahnsteig;53,9269929;9,3645367;Auf dem Bahnsteig - Wilster - 25554
Wrist;25563;In der Bahnhofshalle;53,9306622;9,7505702;In der Bahnhofshalle - Wrist - 25563
Wrist;25563;Auf dem Bahnsteig;53,9306622;9,7505702;Auf dem Bahnsteig - Wrist - 25563
St. Michaelisdonn;25693;Zugang zum Bahnsteig;53,9902268;9,1145506;Zugang zum Bahnsteig - St. Michaelisdonn - 25693
Meldorf;25704;Auf dem Bahnsteig;54,1040117;9,0622852;Auf dem Bahnsteig - Meldorf - 25704
Meldorf;25704;Auf dem Bahnsteig;54,1040117;9,0622852;Auf dem Bahnsteig - Meldorf - 25704
Burg (Dithm);25712;Auf dem Vorplatz Zugang zum Bahnsteig;54,0025805;9,239481;Auf dem Vorplatz Zugang zum Bahnsteig - Burg (Dithm) - 25712
Heide;25746;Bahnsteig Gleis 2/4 Ri Westerland;54,1897815;9,0911487;Bahnsteig Gleis 2/4 Ri Westerland - Heide - 25746
Heide;25746;Zugang Bahnsteig Gleis 1 Ri Hamburg;54,1897815;9,0911487;Zugang Bahnsteig Gleis 1 Ri Hamburg - Heide - 25746
Lunden;25774;Auf dem Bahnsteig;54,327581;9,015959;Auf dem Bahnsteig - Lunden - 25774
Lunden;25774;Auf dem Bahnsteig;54,327581;9,015959;Auf dem Bahnsteig - Lunden - 25774
Husum;25813;In der Bahnhofshalle;54,456652;9,0593285;In der Bahnhofshalle - Husum - 25813
